Area,Size
go_100,335540.4043276739
go_500,4799935.289997596
go_catch,100922024.21401402
go_stream,56296121.62573284
vy_100,393999.7402095057
vy_500,3875506.8256685236
vy_catch,334385020.44597137
vy_stream,73628561.19185753
