LocCode,River,Class,LC_meadow,LC_mire,LC_grassland
GO_9,GO,Catch,0.0067694356296348155,0.0035247933367315337,0.010294228966366349
GO_1,GO,Stream,0.001373806704190666,0.02408076142218183,0.025454568126372496
GO_10,GO,Stream,0,0,0
GO_11,GO,Stream,0,0,0
GO_12,GO,Stream,0.003224997780368972,4.1852394610664075e-4,0.0036435217264756126
GO_13,GO,Stream,0,0,0
GO_14,GO,Stream,0,0,0
GO_15,GO,Stream,0.002651108960450698,0.0055431735240734255,0.008194282484524123
GO_16,GO,Stream,0,0,0
GO_17,GO,Stream,0,0,0
GO_18,GO,Stream,0.001309872947532823,1.6998870456185332e-4,0.0014798616520946763
GO_19,GO,Stream,0,0,0
GO_2,GO,Stream,0,0,0
GO_20,GO,Stream,0,0,0
GO_21,GO,Stream,0,0,0
GO_22,GO,Stream,0.00693910136073099,0,0.00693910136073099
GO_23,GO,Stream,0,0,0
GO_24,GO,Stream,0,0,0
GO_25,GO,Stream,0,0,0
GO_26,GO,Stream,0,0,0
GO_27,GO,Stream,0.0011326497794877657,1.4698957566842145e-4,0.0012796393551561872
GO_28,GO,Stream,0.001642591184141577,0.0034344751945850228,0.0050770663787266
GO_29,GO,Stream,0.05556607851929325,0,0.05556607851929325
GO_3,GO,Stream,0,0,0
GO_30,GO,Stream,0.003482199444780209,6.911396691907971e-4,0.004173339113971006
GO_31,GO,Stream,0,0,0
GO_32,GO,Stream,7.969013207357164e-4,0,7.969013207357164e-4
GO_33,GO,Stream,0,0,0
GO_34,GO,Stream,6.344645796500641e-4,0,6.344645796500641e-4
GO_35,GO,Stream,0,0,0
GO_36,GO,Stream,0.005564213589933649,0,0.005564213589933649
GO_37,GO,Stream,0.01569859905839415,0,0.01569859905839415
GO_38,GO,Stream,0.002807374751611658,0,0.002807374751611658
GO_39,GO,Stream,0.012159469813070969,1.2018303571407033e-4,0.012279652848785039
GO_4,GO,Stream,0.0016040710704383963,0.007917700556851152,0.009521771627289548
GO_40,GO,Stream,0.0016814786714230076,9.045718244538083e-5,0.0017719358538683884
GO_41,GO,Stream,0.0015932148211710725,8.674792498498238e-5,0.0016799627461560548
GO_42,GO,Stream,0.0049350316537673695,0.002370326845535552,0.007305358499302922
GO_43,GO,Stream,0,0,0
GO_44,GO,Stream,0.0038082412352546608,0.001539251491143465,0.005347492726398126
GO_45,GO,Stream,0,0,0
GO_46,GO,Stream,0,0,0
GO_47,GO,Stream,0.0030467468549554497,0,0.0030467468549554497
GO_48,GO,Stream,0.003998602978197233,0.0013088834577183442,0.005307486435915577
GO_5,GO,Stream,0.0024024950421782563,0,0.0024024950421782563
GO_6,GO,Stream,0.01277845795186542,0.0016583238225906629,0.014436781774456082
GO_7,GO,Stream,0.005067862334693614,0.01507847726504715,0.020146339599740763
GO_8,GO,Stream,0,0,0
GO_9,GO,Stream,0.002908490760050317,0.006651517655547229,0.009560008415597546
V_1,VY,100,0,0,0
V_10,VY,100,0.2923214774932011,0,0.2923214774932011
V_11,VY,100,0,0,0
V_12,VY,100,0,0,0
V_13,VY,100,0,0,0
V_14,VY,100,0.37668228521505887,0,0.37668228521505887
V_15,VY,100,0.00992329215110129,0,0.00992329215110129
V_16,VY,100,0.8478822108325392,0,0.8478822108325392
V_17,VY,100,0,0,0
V_18,VY,100,0,0,0
V_19,VY,100,0.9274419520790442,0,0.9274419520790442
V_2,VY,100,0,0,0
V_20,VY,100,0.8904424118320523,0,0.8904424118320523
V_21,VY,100,0,0,0
V_22,VY,100,0.8445639953947822,0,0.8445639953947822
V_23,VY,100,0.028169250345685442,0,0.028169250345685442
V_24,VY,100,0.9439228469160365,0,0.9439228469160365
V_25,VY,100,0,0,0
V_26,VY,100,0,0,0
V_27,VY,100,0.11824191584274882,0,0.11824191584274882
V_28,VY,100,0.3264311545315043,0,0.3264311545315043
V_29,VY,100,0,0,0
V_3,VY,100,0.1736224566287436,0,0.1736224566287436
V_30,VY,100,0.5814547043539986,0,0.5814547043539986
V_31,VY,100,0,0,0
V_32,VY,100,0,0,0
V_33,VY,100,0,0.9681846909881594,0.9681846909881594
V_34,VY,100,0,0.32610281449862144,0.32610281449862144
V_35,VY,100,0.13677625566597607,0,0.13677625566597607
V_36,VY,100,0.07828405705673318,0,0.07828405705673318
V_37,VY,100,0.1538555888221072,0,0.1538555888221072
V_38,VY,100,0,0,0
V_39,VY,100,0,0,0
V_4,VY,100,0,0,0
V_40,VY,100,0.2850939496911512,0,0.2850939496911512
V_41,VY,100,0.4879715330509975,0,0.4879715330509975
V_42,VY,100,0.48665834239650607,0,0.48665834239650607
V_43,VY,100,0.08296070411157458,0,0.08296070411157458
V_5,VY,100,0.08750770048398045,0.05339713581045775,0.1409048362944382
V_6,VY,100,0.47504116986808553,0,0.47504116986808553
V_7,VY,100,0.7070700576351301,0,0.7070700576351301
V_8,VY,100,0,0,0
V_9,VY,100,0.17920234642570457,0,0.17920234642570457
V_1,VY,500,0.01409249015051295,0,0.01409249015051295
V_10,VY,500,0.025284644951576788,0,0.025284644951576788
V_11,VY,500,0,0,0
V_12,VY,500,0,0,0
V_13,VY,500,0,0,0
V_14,VY,500,0.2112999229638099,0,0.2112999229638099
V_15,VY,500,0.0023003542002818867,0,0.0023003542002818867
V_16,VY,500,0.46809813917965504,0,0.46809813917965504
V_17,VY,500,0,0,0
V_18,VY,500,0.010577704257139905,0,0.010577704257139905
V_19,VY,500,0.5346730433002279,0,0.5346730433002279
V_2,VY,500,0,0,0
V_20,VY,500,0.6958658576696324,0,0.6958658576696324
V_21,VY,500,0,0,0
V_22,VY,500,0.21762365451244975,0,0.21762365451244975
V_23,VY,500,0.002779130915791352,0,0.002779130915791352
V_24,VY,500,0.968589152618356,0,0.968589152618356
V_25,VY,500,0,0,0
V_26,VY,500,0,0,0
V_27,VY,500,0.012171591854286016,0,0.012171591854286016
V_28,VY,500,0.44758204668358503,0,0.44758204668358503
V_29,VY,500,0,0,0
V_3,VY,500,0.043972603511293375,0,0.043972603511293375
V_30,VY,500,0.1700917864769583,0,0.1700917864769583
V_31,VY,500,0.06471572691190342,0,0.06471572691190342
V_32,VY,500,0,0,0
V_33,VY,500,0.040020651639423574,0.18196464048970085,0.22198529212912443
V_34,VY,500,0.09572400563763153,0.094653081723581875,0.1903770873612134
V_35,VY,500,0.018739902723548668,0,0.018739902723548668
V_36,VY,500,0.00974161369779533,0,0.00974161369779533
V_37,VY,500,0.19790093467243444,0,0.19790093467243444
V_38,VY,500,8.69893676777562e-4,0,8.69893676777562e-4
V_39,VY,500,0,0,0
V_4,VY,500,0,0.0098376880729908,0.0098376880729908
V_40,VY,500,0.1616986283569759,0,0.1616986283569759
V_41,VY,500,0.2995156542506942,0,0.2995156542506942
V_42,VY,500,0.4364495314689353,0,0.4364495314689353
V_43,VY,500,0.20682986003317982,0,0.20682986003317982
V_5,VY,500,0.06437350187283006,0.030139365086466714,0.09451286695929677
V_6,VY,500,0.3372896630196496,0,0.3372896630196496
V_7,VY,500,0.4555396020403217,0,0.4555396020403217
V_8,VY,500,0.029755441221295562,0,0.029755441221295562
V_9,VY,500,0.0460094172411,0,0.0460094172411
V_1,VY,Catch,0.008376031506847917,0.0015536923318573493,0.009929723838705266
V_10,VY,Catch,0.0037485418251961278,0,0.0037485418251961278
V_11,VY,Catch,0.05046899786587665,0.003124332742877963,0.05359333060875461
V_12,VY,Catch,0.012382007593181308,0,0.012382007593181308
V_13,VY,Catch,0.00820107477818631,3.804148982129492e-4,0.008581489676399259
V_14,VY,Catch,0.019968593893002765,0,0.019968593893002765
V_15,VY,Catch,0.019959603767978895,0.004566740889036563,0.024526344657015458
V_16,VY,Catch,0.03861497330735412,1.0373457523859221e-4,0.03871870788259271
V_17,VY,Catch,0.012631760288906927,0,0.012631760288906927
V_18,VY,Catch,0.005480473119439762,0,0.005480473119439762
V_19,VY,Catch,0.08059307120547694,0.05008157437527997,0.13067464558075692
V_2,VY,Catch,0.012660297377705361,0.0025276981440714775,0.015187995521776838
V_20,VY,Catch,0.05953679497716564,0.013221178349770522,0.07275797332693616
V_21,VY,Catch,0.030353590549409316,0,0.030353590549409316
V_22,VY,Catch,0.05768468043514901,0.009041824836162334,0.06672650527131134
V_23,VY,Catch,0.026739711027298236,0.004854232105181409,0.031593943132479645
