LocCode,Area_full,Share_full,River,Class
V_1,4033.8277832945287,0.3705207321647673,VY,100
V_10,5382.791681325303,0.5160134836079654,VY,100
V_11,2063.4519447761613,0.23034466758342034,VY,100
V_12,1083.8029419285813,0.12708961327090473,VY,100
V_13,2478.8928817696897,0.28230528191952436,VY,100
V_14,5310.348654078358,0.44513259782822157,VY,100
V_15,2667.7832658944417,0.3586356762919099,VY,100
V_16,1694.2235199474326,0.16620500208890243,VY,100
V_17,1480.0762569142134,0.14698495346950638,VY,100
V_18,1362.3555251292146,0.22896893230279436,VY,100
V_19,417.40697188369177,0.047760192888885916,VY,100
V_2,1262.3480181184386,0.1497933198671694,VY,100
V_20,714.1902147736419,0.060249669725578915,VY,100
V_21,2161.1738943238206,0.27630310834867144,VY,100
V_22,1271.7853353468818,0.1513854589768577,VY,100
V_23,2693.7337030293547,0.2954245897249069,VY,100
V_24,356.0328585545649,0.037320550219746416,VY,100
V_25,3141.9466579589844,0.38343200727800597,VY,100
V_26,1969.3955748544686,0.26066385506725764,VY,100
V_27,2169.655458881767,0.22456585674225543,VY,100
V_28,5075.724595005977,0.4883997858416455,VY,100
V_29,5169.825880608171,0.6390911644292085,VY,100
V_3,1458.9082891713333,0.14874994653424858,VY,100
V_30,1905.3502251825776,0.20341276748563253,VY,100
V_31,4409.659644334893,0.5527915139258055,VY,100
V_32,2837.8385230651043,0.36335603390170546,VY,100
V_33,240.27145132253645,0.02684615414712313,VY,100
V_34,2223.828571426051,0.21733178426104197,VY,100
V_35,6133.768606551056,0.7145575417905926,VY,100
V_36,4539.907733712816,0.4149688888116524,VY,100
V_37,3716.099223599475,0.4985988023274255,VY,100
V_38,3179.8729161201572,0.44599668019687644,VY,100
V_39,4874.600353892494,0.7038934828063397,VY,100
V_4,3968.93613501015,0.4196396996456113,VY,100
V_40,2863.031120933587,0.3552946493012589,VY,100
V_41,3474.773548057909,0.34277507229847226,VY,100
V_42,4343.679222383189,0.3844985635808021,VY,100
V_43,5579.586828603973,0.5185404470631384,VY,100
V_5,4201.506522792704,0.32705888019641227,VY,100
V_6,2053.9225589572525,0.21678212116256715,VY,100
V_7,248.52393560484052,0.02714798383574807,VY,100
V_8,1833.446296109163,0.17273074399408755,VY,100
V_9,3081.019301289951,0.5083102364997883,VY,100
V_1,15303.059462984715,0.23877260088257551,VY,500
V_10,38114.20478321323,0.301898402769097,VY,500
V_11,21150.646148159736,0.2887684215897298,VY,500
V_12,7293.088941695656,0.12517966971638117,VY,500
V_13,28334.003002356723,0.35545577747771584,VY,500
V_14,72921.79247290961,0.5622064989298611,VY,500
V_15,24087.071616640438,0.2936548008515426,VY,500
V_16,38501.65688274024,0.285079058509528,VY,500
V_17,31740.477470404236,0.32572848243584507,VY,500
V_18,29683.883885646617,0.3915225890786584,VY,500
V_19,14520.162507313546,0.25988898731574805,VY,500
V_2,13040.80337653395,0.16419354070223155,VY,500
V_20,22406.46826800486,0.157846546435749,VY,500
V_21,14215.93771386748,0.21135868308830105,VY,500
V_22,18774.442997981947,0.24758164831784102,VY,500
V_23,7748.491632003726,0.08383839119477743,VY,500
V_24,2714.84020121925,0.03837352972752356,VY,500
V_25,22631.76054259104,0.4518156307618313,VY,500
V_26,14689.566411729838,0.24233281135922513,VY,500
V_27,18295.120181112477,0.19492347387272552,VY,500
V_28,44647.13206656417,0.41626035405934914,VY,500
V_29,31387.91536148008,0.5994477189868872,VY,500
V_3,33823.693147409795,0.2490623543617401,VY,500
V_30,27986.300680112712,0.19219870140259326,VY,500
V_31,24458.30454930037,0.43997144642446884,VY,500
V_32,28029.187375305963,0.35912691998841567,VY,500
V_33,30557.779598939764,0.2857177573742186,VY,500
V_34,22227.124030026887,0.34067169565207284,VY,500
V_35,42849.28686696987,0.3643367682409411,VY,500
V_36,47016.917560191745,0.5347863262475189,VY,500
V_37,27277.838971469377,0.5529902852563167,VY,500
V_38,52382.69343892383,0.6137459990875542,VY,500
V_39,36646.08724719897,0.7924905738498335,VY,500
V_4,16014.406179718666,0.24147125514149137,VY,500
V_40,31158.674128623847,0.44912918216184045,VY,500
V_41,63386.451457152296,0.37961183726998615,VY,500
V_42,23034.77416915176,0.36356601501784147,VY,500
V_43,52241.44106140589,0.5448426896631566,VY,500
V_5,41173.691472625345,0.2781206529888841,VY,500
V_6,13567.771873859412,0.15599895709319261,VY,500
V_7,14522.605585728199,0.10706040796009618,VY,500
V_8,22969.072136011724,0.23740000638498762,VY,500
V_9,40374.57197423442,0.3912842702931236,VY,500
V_1,121121.66985404372,0.2392323635254231,VY,Catch
V_10,1942517.3813799368,0.47054585657944026,VY,Catch
V_11,3086871.2342263493,0.2515888585093228,VY,Catch
V_12,197334.42260019082,0.2449659864928824,VY,Catch
V_13,658983.4535843303,0.34062002801934543,VY,Catch
V_14,975977.2838017222,0.5952549284000506,VY,Catch
V_15,1519368.003059504,0.26748304080573654,VY,Catch
V_16,856127.2984577301,0.3108668462740332,VY,Catch
V_17,684683.9025624433,0.3256030311502295,VY,Catch
V_18,553705.2878967237,0.4534397609255482,VY,Catch
V_19,253708.05893295206,0.3173614397224144,VY,Catch
V_2,462350.394945308,0.2221741152959372,VY,Catch
V_20,1309722.4474570334,0.31374899050917904,VY,Catch
V_21,289178.1605976046,0.2719068211740071,VY,Catch
V_22,97740.14882706487,0.32751215901496544,VY,Catch
V_23,554419.4377888407,0.25129272159570476,VY,Catch
V_24,1857648.2400845657,0.5548605395468201,VY,Catch
V_25,681232.4991532404,0.3082548529174425,VY,Catch
V_26,347562.1651143124,0.47298633249452976,VY,Catch
V_27,281144.27403774974,0.2672923707613659,VY,Catch
V_28,3950095.0641016075,0.5558566410117761,VY,Catch
V_29,2532827.7911958927,0.46832778307052986,VY,Catch
V_3,402392.74850759597,0.20305572871385308,VY,Catch
V_30,1409857.1560874707,0.25990849775254726,VY,Catch
V_31,1217898.1933608155,0.29420011992495715,VY,Catch
V_32,1266207.2834886448,0.32570230979796994,VY,Catch
V_33,448663.6936881325,0.4726871800770959,VY,Catch
V_34,6955828.294114957,0.31701269786786207,VY,Catch
V_35,861430.7195177862,0.33314890072847186,VY,Catch
V_36,263541.53328590124,0.5866314734971002,VY,Catch
V_37,1982839.4253732392,0.48548569668815844,VY,Catch
V_38,739014.972368458,0.34696060988926786,VY,Catch
V_39,889530.1861689737,0.6545197490603742,VY,Catch
V_4,276908.76881108375,0.28540492018650243,VY,Catch
V_40,12678573.820531903,0.3910917074913191,VY,Catch
V_41,13979160.779670957,0.33394140704606456,VY,Catch
V_42,16332293.846860137,0.34613662247727184,VY,Catch
V_43,35588430.95435079,0.3873183972979958,VY,Catch
V_5,172248.86785889615,0.2436059542743922,VY,Catch
V_6,213123.55144648347,0.18270575571202477,VY,Catch
V_7,717092.5274373217,0.19926584427989302,VY,Catch
V_8,316474.6866204629,0.25453692466531797,VY,Catch
V_9,431984.82027685316,0.4831562575802915,VY,Catch
V_1,21567.143352067156,0.22905699179724803,VY,Stream
V_10,285219.2491337656,0.3645024176135497,VY,Stream
V_11,426995.70379799843,0.18536904942768334,VY,Stream
V_12,32127.33219143425,0.15705192301874937,VY,Stream
V_13,116049.30363224297,0.30800491511173866,VY,Stream
V_14,152626.92123024847,0.6024604569793054,VY,Stream
V_15,299846.07416417054,0.25393085732911297,VY,Stream
V_16,192356.18287712708,0.22798226069874675,VY,Stream
V_17,179643.55124915965,0.29886107850498717,VY,Stream
V_18,117805.82846213854,0.4111985824562925,VY,Stream
V_19,21186.167146404805,0.23766677781578122,VY,Stream
V_2,67557.09182635286,0.2212605444650419,VY,Stream
V_20,250614.30588759616,0.22103722528158454,VY,Stream
V_21,57157.62860658989,0.22079822444044128,VY,Stream
V_22,26495.54920022747,0.2134219274341318,VY,Stream
V_23,38016.144405906765,0.12777163708313177,VY,Stream
V_24,419737.309618153,0.5921167851085726,VY,Stream
V_25,66192.47903110039,0.4404371404718111,VY,Stream
V_26,49133.91674284682,0.2793778690843504,VY,Stream
V_27,72469.16711083402,0.2304321962104055,VY,Stream
V_28,865472.7472632168,0.5816317057009703,VY,Stream
V_29,442519.6398726739,0.39038650581399126,VY,Stream
V_3,84063.79871586029,0.21743257226282708,VY,Stream
V_30,241876.19631642295,0.19381643145506097,VY,Stream
V_31,308396.380433731,0.27340085101873296,VY,Stream
V_32,148838.27865478647,0.2241151374661152,VY,Stream
V_33,94140.59162366483,0.37639557985999883,VY,Stream
V_34,1231817.851789603,0.26097143830211816,VY,Stream
V_35,228318.19666799737,0.3137716444608101,VY,Stream
V_36,90584.26241752921,0.5501623479153651,VY,Stream
V_37,648099.7437956773,0.4683334509369085,VY,Stream
V_38,159913.82328668644,0.49083121071562,VY,Stream
V_39,313009.67859524384,0.7114769420472994,VY,Stream
V_4,44970.168956292946,0.2582934544884184,VY,Stream
V_40,2547370.189714261,0.3779484656692514,VY,Stream
V_41,2760582.8931254866,0.27970644808427353,VY,Stream
V_42,3081676.709461228,0.28663060296314496,VY,Stream
V_43,6867508.828730463,0.3476031773628269,VY,Stream
V_5,66295.14076520226,0.2759214308457032,VY,Stream
V_6,32022.046179912046,0.1491069289913955,VY,Stream
V_7,111253.21929967684,0.1600979139378916,VY,Stream
V_8,73491.57036709586,0.2172296607107046,VY,Stream
V_9,134399.3586189164,0.4438333030673763,VY,Stream
