Index,LocCode,River,Class,Area,Height_max_nodw,Height_ave_nodw,Height_med_nodw,Height_std_nodw,Crown_max_nodw,Crown_ave_nodw,Crown_med_nodw,Crown_std_nodw,Height_max_conif,Height_ave_conif,Height_med_conif,Height_std_conif,Crown_max_conif,Crown_ave_conif,Crown_med_conif,Crown_std_conif,Height_max_decid,Height_ave_decid,Height_med_decid,Height_std_decid,Crown_max_decid,Crown_ave_decid,Crown_med_decid,Crown_std_decid,Count_full,Count_conif,Count_decid,Count_nodw,Count_deadw,Count_snags,Share_conif,Share_decid,Share_nodw,Share_deadw,Share_snags,Crown_sum_nodw,Crown_sum_conif,Crown_sum_decid,Cover_nodw,Cover_conif,Cover_decid,Mean_Biomass,Median_Biomass,Std_Biomass,Max_Biomass,Min_Biomass,Sum_Biomass,Biomass_Area,Mean_cover,Median_cover,Sd_cover,Max_cover,Min_cover,Mean_shrub,Median_shrub,Sd_shrub,Max_shrub,Min_shrub,Mean_under,Median_under,Sd_under,Max_under,Min_under,LC_meadow,LC_mire,LC_grassland
1,GO_1,GO,100,5355.38540187106,34.73730804037302,10.172709370106789,7.831973567716773,6.499193605316363,125.283180020924,20.499555039461768,18.56169374627645,16.80999195330264,34.73730804037302,9.14957425052986,7.602298274748023,5.385246825647324,101.534283263609,19.454656307109694,18.7432589973905,13.558691082382271,29.936279296869998,19.1655285790198,23.656860351565,8.461686323948962,125.283180020924,29.683664950135263,12.5067650053097,33.31204383179621,209,167,19,186,9,14,0.7990430622009569,0.09090909090909091,0.8899521531100478,0.0430622009569378,0.06698564593301436,3812.917237339889,3248.927603287319,563.9896340525701,0.7119781213146182,0.6066655076126195,0.10531261370199871,0.20719702342444965,0.058898032721503187,0.5834084883670371,5.76856895573524,0.011327111606707999,38.53864635694764,71.96241440155369,0.5018750031345657,0.47200000286102295,0.2264553814417656,0.953000009059906,0.0729999989271164,0.45976785716733765,0.4580000042915344,0.20756878600798745,0.8960000276565552,0.11500000208616257,0.6349821420652526,0.6774999797344208,0.1693741944097669,0.9340000152587891,0.27799999713897705,0,0,0
2,GO_10,GO,100,3880.57779346406,39.31610442709177,28.22245139439069,30.106688991300757,7.817371609587079,102.870858499646,29.265216426937737,26.3210350010195,19.807451552524824,39.31610442709177,28.456501209507174,32.26379729818552,9.502895071349094,85.5505814998178,26.97903830402146,23.8507910018088,17.453574510426474,37.46221923828125,27.954426606112133,28.733734130861876,5.336231213874889,102.870858499646,31.883259116083796,28.8819094123319,22.053691254882434,139,71,62,133,3,3,0.5107913669064749,0.4460431654676259,0.9568345323741008,0.02158273381294964,0.02158273381294964,3892.273784782719,1915.5117195855237,1976.7620651971952,1.003013981922578,0.4936150804170869,0.5093989015054912,1.7798363558916699,1.6117612959530843,1.1710756085301244,7.005918143811653,0.011339485778672243,236.71823533359208,610.007704863666,0.16342105358642967,0.079500000923872,0.20381836979672513,0.9750000238418579,0.017000000923871994,0.8404473725118136,0.8655000030994415,0.12816052111895254,1,0.5879999995231628,0.9221052652911136,0.9590000212192535,0.08720209453812705,1,0.7049999833106995,0,0,0
3,GO_11,GO,100,4670.45572062954,34.6697998046925,15.015141159856121,11.679107204191382,8.675250935319564,115.766719999257,28.281326348028422,25.241278000419697,20.854948209282096,29.711547389738257,12.683708597329757,9.351073756925757,8.102705814027903,89.4460040042177,21.199552927985053,17.623475497443,17.660571056868804,34.6697998046925,15.977659190256913,13.030334010832007,8.756174891753952,115.766719999257,31.2049942737344,30.0765785025433,21.437283709693485,161,45,109,154,1,6,0.2795031055900621,0.6770186335403726,0.9565217391304348,0.006211180124223602,0.037267080745341616,4355.324257596377,953.9798817593273,3401.3443758370495,0.9325266137004108,0.20425841477215384,0.7282681989282569,0.4393016392957675,0.1370420445142017,0.6054342101950515,2.8835496826045626,0.01193277449090064,67.6524524515482,144.85192987212216,0.33712765931131994,0.3499999940395355,0.16984694030849362,0.6489999890327454,0.03400000184774399,0.4305744672075231,0.4269999861717224,0.11218593346514011,0.7639999985694885,0.2240000069141388,0.6184042540002377,0.6029999852180481,0.10013679056432627,0.8880000114440918,0.4490000009536743,0,0,0
4,GO_12,GO,100,5878.08675783873,28.57470703125,9.727014216753851,8.815246582143004,4.559797260262452,96.760297992193,21.092050960921867,18.2927845503436,15.287394507100398,26.625182643644507,9.309842404928355,8.127074733488257,4.334348889599119,69.6157500089612,19.28331747853717,17.035441502870547,13.06222026767536,28.57470703125,11.608079840985171,10.939269557707007,5.093661704375696,96.760297992193,29.24779466331106,27.7293124981225,21.06668363588998,306,248,55,303,1,2,0.8104575163398693,0.17973856209150327,0.9901960784313726,0.0032679738562091504,0.006535947712418301,6390.891441159326,4782.262734677218,1608.628706482108,1.0872400671250293,0.8135747109039903,0.273665356221039,0.13344415734312057,0.06737753012389765,0.20798894699657516,1.7757571220876562,0.011402369779587472,40.433579674965536,68.78697328011583,0.3256315782404782,0.31200000643730164,0.14934220248696797,0.6549999713897705,0.08399999886751175,0.36247368392191437,0.3199999928474426,0.12506242687193922,0.7139999866485596,0.1459999978542328,0.6714385946591696,0.6710000038146973,0.1062697029954073,0.9049999713897705,0.4269999861717224,0,0,0
5,GO_13,GO,100,7942.52443067729,34.708496108762915,17.813097013720096,19.42431617533788,8.981973838451513,123.063093007542,32.618595005207574,26.55328700033715,25.085162328984172,34.708496108762915,14.262726828429175,11.790679469816382,8.941612141934066,123.063093007542,24.260064688175635,19.3848557509991,20.265488846467374,34.573425292969205,20.382443858338522,23.66537475585926,8.118160732993207,106.817604998825,38.667531418849116,35.3599837477668,26.52329601354676,271,110,152,262,0,9,0.4059040590405904,0.5608856088560885,0.966789667896679,0,0.033210332103321034,8546.071891364385,2668.60711569932,5877.464775665066,1.0759893741536315,0.3359897900209238,0.7399995841327077,0.6238016442247705,0.43422908178425074,0.6624908627274131,4.9521337546373525,0.0115922360153885,163.43603078688986,205.773406444471,0.23564556995524635,0.1979999989271164,0.16335222485075468,0.6100000143051147,0.02800000086426735,0.5079240510358086,0.4699999988079071,0.21796211171278226,0.9660000205039978,0.10300000011920929,0.6746202492261235,0.6359999775886536,0.1962673018662131,1,0.22200000286102295,0,0,0
6,GO_14,GO,100,7091.10442440212,32.08044387411326,15.474116750013373,16.879210963957007,8.561519933166592,94.5671390034258,22.91229856258888,17.3941660036216,20.63052411986059,32.08044387411326,12.361038558641182,9.008117213957007,8.656145861678004,94.5671390034258,19.44729719497954,15.3345639969921,18.984969966370496,30.450927734375227,18.959410812093108,21.094573743697254,7.002067598274978,86.3182975226955,26.791593571977593,25.028056992596248,21.784429265768104,222,103,92,195,8,19,0.46396396396396394,0.4144144144144144,0.8783783783783784,0.036036036036036036,0.08558558558558559,4467.898219704832,2003.0716110828928,2464.8266086219387,0.630070853889807,0.2824766765794427,0.34759417731036424,0.4174343729048477,0.250242876633147,0.46166951110855275,2.4586417336997752,0.009182873450521004,81.3997027164453,114.79129038959042,0.5320285743368524,0.534500002861023,0.2844207440292105,0.9789999723434448,0.057999998331069946,0.6210428574255534,0.6289999783039093,0.0952357038537317,0.8420000076293945,0.34599998593330383,0.7406285741499492,0.7440000176429749,0.13005229157322074,0.9649999737739563,0.4790000021457672,0,0,0
7,GO_15,GO,100,4676.58588573337,36.00109817098826,24.557241576848668,24.737365260832007,5.861461341384447,103.938243740238,33.14556024668452,31.3578610019758,21.50843436271251,36.00109817098826,26.61182600814148,27.602904811613257,5.928313268352445,88.6923965010355,31.59558343908015,31.9278424624354,20.87182206786403,35.416503906249545,22.427489422459775,22.266357421875114,4.994187220638597,103.938243740238,34.75224352285978,30.90540824987695,22.162326004009486,170,85,82,167,1,2,0.5,0.4823529411764706,0.9823529411764705,0.0058823529411764705,0.011764705882352941,5535.308561196315,2685.624592321813,2849.6839688745017,1.183621705330508,0.5742703454917221,0.6093513598387859,1.1931497992601772,0.9044959891304524,1.0075901145685415,5.755679698305006,0.021087565306212225,199.25601647644962,426.07154309794703,0.09704255318625811,0.08799999952316284,0.07993066643086667,0.4620000123977661,0.014999999664723873,0.7962553171401329,0.8240000009536743,0.13921245383317848,0.984000027179718,0.46000000834465027,0.9058510610397826,0.953000009059906,0.11013094005612772,1,0.5590000152587891,0,0,0
8,GO_16,GO,100,4178.16661863867,38.83300781250023,17.76256195143088,16.693171087296832,10.354328757247051,143.200493008044,33.54963371671984,27.4314467536169,26.576533329334772,27.555653698031165,10.11507652261376,8.01656068045304,7.245479874827172,90.4106684948783,20.9819974460119,17.99921250063925,22.614813790170153,38.83300781250023,18.625987725652166,17.69525146484375,10.31786724670234,143.200493008044,34.96856039244493,29.3724321345908,26.69540337162165,139,14,124,138,0,1,0.10071942446043165,0.8920863309352518,0.9928057553956835,0,0.007194244604316547,4629.849452907338,293.7479642441666,4336.101488663171,1.1081055102622583,0.07030546913418105,1.0378000411280772,0.7247001911821932,0.25270451571965313,0.9667222802824242,3.9018163296914725,0.010593663297545528,100.00862638314265,239.36007227908843,0.12307317059759687,0.07999999821186066,0.10108669199155246,0.45899999141693115,0.02500000037252903,0.3601951215688775,0.31299999356269836,0.22608861252383766,0.8949999809265137,0.08900000154972076,0.6437317111143251,0.6330000162124634,0.14615437379355523,0.9409999847412109,0.23800000548362732,0,0,0
9,GO_17,GO,100,5724.27380365133,41.436146862093665,18.794162088066383,17.024225774796832,7.013602932888411,142.676073217299,39.128963510912016,36.2369109959691,27.321130953828288,41.436146862093665,22.371388561312415,22.557362682406165,9.984941610374142,98.4769034975907,44.31431844955751,39.6463416553488,30.325357192402027,39.57531738281227,18.16288682808179,16.756408691405795,6.186554633976167,142.676073217299,38.213900874680455,34.873152743733954,26.773952472607213,160,24,136,160,0,0,0.15,0.85,1,0,0,6260.634161745922,1063.5436427893803,5197.090518956542,1.0936992842223,0.18579538283283725,0.9079039013894628,0.7162685652709886,0.32040933447930775,1.516152155946781,13.026695111259498,0.02141073633929544,114.60297044335819,200.2052563772485,0.11591228022517865,0.09000000357627869,0.09719646345503355,0.5609999895095825,0.023000000044703484,0.5906491216860319,0.6169999837875366,0.19464184257048212,0.8870000243186951,0.1889999955892563,0.8508947387076261,0.8579999804496765,0.08579037763844836,0.9789999723434448,0.6269999742507935,0,0,0
10,GO_18,GO,100,6438.5094917044,39.93945266317576,22.544768740729378,25.995822444669898,9.995236118610842,108.338645500946,35.703302095976255,32.950932677020305,23.127039754917423,39.93945266317576,21.95485449353901,26.088992610685523,12.92665873502714,91.0205875055399,29.768743877740327,28.2582005029544,21.891977352951436,39.15447998046852,22.776364704441153,25.77923583984375,8.62458310572729,108.338645500946,38.033165692765174,34.1022780062631,23.260038968947622,192,53,135,188,2,2,0.2760416666666667,0.703125,0.9791666666666666,0.010416666666666666,0.010416666666666666,6712.2207940435355,1577.7434255202372,5134.477368523298,1.042511594133983,0.24504793035609512,0.7974636637778879,1.2332432100488546,0.9773194681434794,1.3905270157454208,8.363074536587726,0.011959607253358746,231.84972348918467,360.0984417090756,0.18325806439163222,0.12150000035762787,0.16752322352195617,0.9039999842643738,0.04699999839067459,0.6631451619248236,0.6769999861717224,0.20798493461958384,1,0.2980000078678131,0.8032903248263944,0.8355000019073486,0.16103144603614403,1,0.43299999833106995,0,0,0
