LocCode,Area_full,Share_full,River,Class
GO_1,3399.9846367953287,0.6348720739328013,GO,100
GO_10,3274.2701104943008,0.8437584001045038,GO,100
GO_11,3664.3030840618067,0.7845707792232077,GO,100
GO_12,4954.990144672951,0.8429596820879205,GO,100
GO_13,6890.740164839726,0.8675755705862054,GO,100
GO_14,4004.145021693521,0.5646715634188573,GO,100
GO_15,4276.162689618616,0.9143770250566113,GO,100
GO_16,3836.0939242276518,0.9181285176888249,GO,100
GO_17,5246.372255040168,0.9165131569516601,GO,100
GO_18,5570.802080208322,0.8652316327848764,GO,100
GO_19,7942.092529854658,0.8420826926102429,GO,100
GO_2,5785.141598512996,0.8619107017144398,GO,100
GO_20,2743.5157894604463,0.5853957212566093,GO,100
GO_21,4166.196720081757,0.8502376667438838,GO,100
GO_22,5760.375930006488,0.6047956047284847,GO,100
GO_23,2848.5654731723835,0.7731453197383635,GO,100
GO_24,3745.6548537405274,0.8338616772170064,GO,100
GO_25,1915.917042955094,0.25513566845297114,GO,100
GO_26,2005.5070534667354,0.8586235456174027,GO,100
GO_27,8556.52370914222,0.7725812319845289,GO,100
GO_28,4412.775138505009,0.7507350646085054,GO,100
GO_29,4730.1382035098195,0.7518895624251092,GO,100
GO_3,9129.708841495552,0.9319177670510108,GO,100
GO_30,6036.577805138206,0.9104567656668622,GO,100
GO_31,4218.705520979782,0.6432971069665951,GO,100
GO_32,6012.317617220181,0.8666660600093857,GO,100
GO_33,4116.190585312437,0.4487813175884326,GO,100
GO_34,6312.834873262056,0.7120659462249348,GO,100
GO_35,2589.5707074226248,0.26992072339746315,GO,100
GO_36,6500.935483870027,0.8631938393537991,GO,100
GO_37,5867.881648944831,0.6880374856717273,GO,100
GO_38,4094.8370266169304,0.46226384908719004,GO,100
GO_39,6866.541033942562,0.8058325333703162,GO,100
GO_4,4417.345112245331,0.46039017183339154,GO,100
GO_40,6391.039922560696,0.5228822646634382,GO,100
GO_41,5482.099192576275,0.7913406784957049,GO,100
GO_42,7414.899182585347,0.8572645953596093,GO,100
GO_43,1800.2199220312195,0.3999774755776496,GO,100
GO_44,6557.127690676385,0.6312355483493622,GO,100
GO_45,2192.659632828386,0.6238947294284272,GO,100
