LocCode,AS_Coniferous,AS_Deciduous,AS_Deadwood,AS_Mixed,AS_Meadow,River,Class,AS_Clearcut,AS_Shrub
GO_1,NA,0.5313896939519623,NA,0.4686103060577754,NA,GO,100,NA,NA
GO_10,0.03255146219955327,NA,NA,0.967448537789048,NA,GO,100,NA,NA
GO_11,NA,0.9786359576219857,NA,0.005966344623204436,NA,GO,100,NA,NA
GO_12,NA,0.9689730173795515,NA,NA,NA,GO,100,NA,NA
GO_13,NA,NA,NA,0.9999999999931721,NA,GO,100,NA,NA
GO_14,NA,1.000000000001346,NA,NA,NA,GO,100,NA,NA
GO_15,NA,NA,0.010804290804475999,0.9891957091859642,NA,GO,100,NA,NA
GO_16,NA,NA,NA,1.0000000000074676,NA,GO,100,NA,NA
GO_17,NA,0.11203348145002388,NA,0.8879665185676292,NA,GO,100,NA,NA
GO_18,NA,0.15872168108653223,NA,0.8109293401173214,NA,GO,100,NA,NA
GO_19,NA,0.9999999999895329,NA,NA,NA,GO,100,NA,NA
GO_2,NA,0.053008921019802625,NA,0.9469910789893202,NA,GO,100,NA,NA
GO_20,NA,0.7632409601543713,NA,0.22508420091064849,NA,GO,100,NA,NA
GO_21,NA,0.5947692317955665,NA,0.40523076820823495,NA,GO,100,NA,NA
GO_22,NA,0.750687538108662,NA,0.21835002758824573,NA,GO,100,NA,NA
GO_23,NA,1.00000000001719,NA,NA,NA,GO,100,NA,NA
GO_24,NA,0.8756171048490262,NA,0.1243828951490051,NA,GO,100,NA,NA
GO_25,0.05402428995481658,0.945975710032642,NA,NA,NA,GO,100,NA,NA
GO_26,0.9993547466969414,6.452532468388823e-4,NA,NA,NA,GO,100,NA,NA
GO_27,NA,0.7073923816059554,NA,0.2541442906115854,NA,GO,100,NA,NA
GO_28,0.27619117840660484,0.034070071011137515,NA,0.6897387505656218,NA,GO,100,NA,NA
GO_29,NA,NA,NA,1.0000000000022207,NA,GO,100,NA,NA
GO_3,NA,5.2545599559431195e-5,NA,0.9999474544216878,NA,GO,100,NA,NA
GO_30,NA,1.0000000000165745,NA,NA,NA,GO,100,NA,NA
GO_31,0.5929777444842872,NA,0.27420531267530135,0.13281694286221116,NA,GO,100,NA,NA
GO_32,0.5886755364896253,NA,0.009952589584004388,0.4013718739246921,NA,GO,100,NA,NA
GO_33,0.3050099675442991,0.20723680625896446,0.487753226185237,NA,NA,GO,100,NA,NA
GO_34,NA,0.015809700774001813,0.2787071858594359,0.6938579296739276,NA,GO,100,NA,NA
GO_35,NA,1.0000000000005826,NA,NA,NA,GO,100,NA,NA
GO_36,0.15775414295877163,0.4504327369383516,NA,0.3918131201211939,NA,GO,100,NA,NA
GO_37,0.482556537743599,NA,NA,0.4178026767778789,0.06365049247070341,GO,100,NA,NA
GO_38,0.4253514711648048,0.2723414936763606,NA,0.003532035165906747,0.257051636820114,GO,100,NA,NA
GO_39,0.9961462275578198,NA,NA,NA,NA,GO,100,NA,NA
GO_4,NA,0.6399902758629552,0.3220511985839281,NA,NA,GO,100,NA,NA
GO_40,0.18136289503599715,0.16141826186201258,0.1130439253266094,0.4910020048639268,0.019602504220210325,GO,100,NA,NA
GO_41,0.9391513005936496,0.0034519462361748184,0.030864479435863304,NA,NA,GO,100,NA,NA
GO_42,0.6714592978280227,NA,NA,0.2908208306979967,NA,GO,100,NA,NA
GO_43,0.40230006813123603,NA,NA,0.5976999318613143,NA,GO,100,NA,NA
GO_44,0.06749475873385025,2.6503498928621527e-4,NA,0.6820513966527141,0.18199707416407543,GO,100,NA,NA
GO_45,0.0020184496900851083,0.17513981762852548,NA,0.7994520180857421,NA,GO,100,NA,NA
GO_46,0.6982687810422319,NA,NA,0.2662010646706228,NA,GO,100,NA,NA
GO_47,0.6835466200747702,0.31307564173059266,NA,0.0033777381813715223,NA,GO,100,NA,NA
GO_48,0.05290171386550653,0.48172403889617116,NA,0.38707404600586554,0.008418125175750054,GO,100,NA,NA
GO_5,NA,0.9489198610445482,0.05087811060713732,2.0202833799297168e-4,NA,GO,100,NA,NA
GO_6,NA,0.9127424181412542,NA,0.08725758184816,NA,GO,100,NA,NA
GO_7,NA,1.0000000000139873,NA,NA,NA,GO,100,NA,NA
GO_8,NA,0.08003397476235712,NA,0.9199660252257443,NA,GO,100,NA,NA
GO_9,NA,0.6603693622405976,NA,0.23357375003311526,0.057586441007539325,GO,100,NA,NA
GO_1,0.023293321675886148,0.887835085640084,NA,0.08566871605827221,0.0032028766218051958,GO,500,NA,NA
GO_10,0.0030218648330345324,NA,NA,0.9969781351710876,NA,GO,500,NA,NA
GO_11,NA,0.9244373298674121,NA,0.07467330711058931,NA,GO,500,NA,NA
GO_12,NA,0.30276122672285816,NA,0.6841784614003037,NA,GO,500,NA,NA
GO_13,0.017996317894923296,0.4111276182249972,0.04508229164564761,0.5134522312525437,NA,GO,500,NA,NA
GO_14,NA,0.62932718290736,NA,0.3608855267678641,NA,GO,500,NA,NA
GO_15,NA,0.00763706876670974,7.525060516977214e-4,0.9914994014238996,NA,GO,500,NA,NA
GO_16,NA,0.0647185770706149,NA,0.9352814229249996,NA,GO,500,NA,NA
GO_17,NA,0.2879635489805068,NA,0.7120364510104005,NA,GO,500,NA,NA
GO_18,NA,0.2301000443765786,NA,0.7475271673373876,NA,GO,500,NA,NA
GO_19,0.009533884096431891,0.8100904650386753,NA,0.1731109124823301,NA,GO,500,NA,NA
GO_2,NA,0.17363266967263521,NA,0.826367330324408,NA,GO,500,NA,NA
GO_20,NA,0.22001987936525877,NA,0.7792100543467225,NA,GO,500,NA,NA
GO_21,NA,0.8851600193490152,NA,0.10818574209780127,NA,GO,500,NA,NA
GO_22,NA,0.44002986097282115,9.598306509081099e-4,0.5396046075650368,0.005951437525269015,GO,500,NA,NA
GO_23,0.07026691334572163,0.7217262892097762,0.04411862737593302,0.15279920555625778,NA,GO,500,NA,NA
GO_24,NA,0.6473577040338938,NA,0.3526422959674135,NA,GO,500,NA,NA
GO_25,0.39551403394182616,0.11040652716373511,0.06641487007951247,0.42766456881975307,NA,GO,500,NA,NA
GO_26,0.08781524215922702,0.16888336965032377,0.01311318776766761,0.7301882004382563,NA,GO,500,NA,NA
GO_27,2.8150580732432676e-5,0.5191142164020798,NA,0.4743152678273157,NA,GO,500,NA,NA
GO_28,0.2059214083816129,0.3998776685053204,NA,0.3942009231047049,NA,GO,500,NA,NA
GO_29,NA,NA,NA,1.0000000000006688,NA,GO,500,NA,NA
GO_3,0.011535472502466608,0.33977272750134646,NA,0.6486917999851519,NA,GO,500,NA,NA
GO_30,NA,0.9892485376682154,NA,NA,NA,GO,500,NA,NA
GO_31,0.2636330371155362,0.4333580005764972,0.034736789407824986,0.26827217290905847,NA,GO,500,NA,NA
GO_32,0.13635231483216204,0.05560214576830911,0.10828874294541141,0.6997567964687705,NA,GO,500,NA,NA
GO_33,0.28488189097960054,0.5072802845457504,0.09955345731285008,0.10828436716026217,NA,GO,500,NA,NA
GO_34,0.10612583765472859,0.10830287629116737,0.08130698133729798,0.7006725885588336,NA,GO,500,0.0030460679874478778,NA
GO_35,NA,0.987223879269023,NA,0.0014865105534978846,NA,GO,500,NA,NA
GO_36,0.10107559135535081,0.4277437858185053,NA,0.45999385616707994,NA,GO,500,NA,NA
GO_37,0.4931612406218502,0.12975776641206876,0.021163495244921966,0.2929462579467015,0.04465998719381567,GO,500,NA,NA
GO_38,0.32435436754606406,0.5936020372267717,0.015794531820005387,0.051178705077661514,0.01289912288305818,GO,500,NA,NA
GO_39,0.297439705183001,0.45212665785816586,0.0024880023275919896,0.18505166748465404,0.048321117802503054,GO,500,NA,NA
GO_4,0.028478556892461673,0.4848092012476735,0.09080029637946518,0.39040814762674525,NA,GO,500,NA,NA
GO_40,0.08437930905542197,0.5513603703204848,0.019053040674963682,0.3219414548257875,0.005708641265643385,GO,500,NA,NA
GO_41,0.544260238134349,0.19982905040479715,0.029868586428874383,0.21385528134573886,NA,GO,500,NA,NA
GO_42,0.28806591553606486,0.46310438423484,0.001779350077617073,0.2200546584986512,0.011933557317948573,GO,500,NA,NA
GO_43,0.1093702603812765,0.15911899805351334,NA,0.7157199256724731,NA,GO,500,NA,NA
GO_44,0.2735689187665519,0.2016022520339012,0.037007369573055296,0.4341567557800497,0.012792146431509976,GO,500,NA,NA
GO_45,0.0020184496889801926,0.17513981762694567,NA,0.7994520181103462,NA,GO,500,NA,NA
GO_46,0.5566564166084017,0.046169918692040915,NA,0.3821342770032248,0.009343030236008333,GO,500,NA,NA
GO_47,0.5150340501083551,0.322898920289072,0.012452482460850598,0.14961454713425293,NA,GO,500,NA,NA
GO_48,0.4017660673667796,0.2251789262416166,0.007284479043164929,0.3288357339131822,0.0032255158852143606,GO,500,NA,NA
GO_5,NA,0.2951933040846334,0.04528520103990857,0.6340947168603498,NA,GO,500,NA,NA
