LocCode,Area_full,Share_full,River,Class
GO_1,2928.9984559540703,0.5469258020031088,GO,100
GO_10,1691.5201130406058,0.4358938805168607,GO,100
GO_11,873.4338714206842,0.18701255801713335,GO,100
GO_12,3796.344628239007,0.6458469880827102,GO,100
GO_13,2360.888709092951,0.2972466411276281,GO,100
GO_14,1917.0132258213234,0.2703405719459497,GO,100
GO_15,2319.630620333439,0.49600941306559165,GO,100
GO_16,289.6203808176142,0.06931757568633734,GO,100
GO_17,1019.4733904688619,0.17809654559475696,GO,100
GO_18,1457.3953741127261,0.22635601857704568,GO,100
GO_19,1345.6406801343946,0.1426753368780238,GO,100
GO_2,283.14552330761217,0.04218499280019275,GO,100
GO_20,1548.209505637129,0.33034809702590645,GO,100
GO_21,1979.3064173279563,0.403936967721268,GO,100
GO_22,4616.114656259511,0.4846568850629421,GO,100
GO_23,509.62053970435227,0.13831900260876148,GO,100
GO_24,838.4335899024863,0.18665297973543463,GO,100
GO_25,1896.2407741154711,0.2525154516635664,GO,100
GO_26,2002.4987184517056,0.8573355784309773,GO,100
GO_27,6852.637820256121,0.6187348448366525,GO,100
GO_28,3591.505361628404,0.6110143673936113,GO,100
GO_29,3010.525476412621,0.4785447244331938,GO,100
GO_3,1204.9329468711512,0.12299389178663157,GO,100
GO_30,2338.203091521733,0.3526555762052993,GO,100
GO_31,4213.530587196356,0.6425079976260483,GO,100
GO_32,5809.27892492946,0.8373983541627981,GO,100
GO_33,3972.625035732315,0.4331286078400612,GO,100
GO_34,5980.905684827109,0.6746254814594638,GO,100
GO_35,2589.5707074226248,0.26992072339746315,GO,100
GO_36,2254.0710337848286,0.29929542212140703,GO,100
GO_37,5554.987701293121,0.6513491579405611,GO,100
GO_38,3954.8475348678903,0.44646051409069704,GO,100
GO_39,6856.452336283352,0.8046485601364944,GO,100
GO_4,3054.4523713975836,0.3183450277014589,GO,100
GO_40,5492.345619532047,0.4493556839971308,GO,100
GO_41,5309.170522922713,0.7663784357547633,GO,100
GO_42,7179.459285375872,0.8300444965770369,GO,100
GO_43,1746.5283869843115,0.38804815272929444,GO,100
GO_44,5355.207138239296,0.5155301641048573,GO,100
GO_45,1948.022460187141,0.5542861862929543,GO,100
GO_46,7725.352971011807,0.7875824037539355,GO,100
GO_47,6558.0581518858,0.675228767290913,GO,100
GO_48,4830.928470603614,0.450085033403458,GO,100
GO_5,2222.2988766611597,0.3334014694245323,GO,100
GO_6,1434.775828783906,0.7764332374591791,GO,100
GO_7,1489.850904559858,0.4864086372905125,GO,100
GO_8,601.066110710115,0.18067211705224062,GO,100
GO_9,6637.501713520562,0.5907087731842785,GO,100
GO_1,35415.45080545805,0.422104518402623,GO,500
GO_10,5346.412828155677,0.1279000249151629,GO,500
GO_11,14005.045118260738,0.17320025561968333,GO,500
GO_12,32750.80572842319,0.3062041016155922,GO,500
GO_13,24727.965531271755,0.22928302152689942,GO,500
GO_14,23404.606288861807,0.25002430192783415,GO,500
GO_15,14677.17895509258,0.21858854880096382,GO,500
GO_16,10508.944545791655,0.26476369353831475,GO,500
GO_17,17216.151158205947,0.2879155313046773,GO,500
GO_18,37094.93327619219,0.33205773529598215,GO,500
GO_19,15743.27818538752,0.1402659930587344,GO,500
GO_2,2249.8244042758806,0.07267444468667784,GO,500
GO_20,23302.263794357114,0.32795738087205395,GO,500
GO_21,5452.243880422644,0.16880575000012943,GO,500
GO_22,42114.25076152043,0.38546038850665887,GO,500
GO_23,21463.85961704303,0.20881646074262894,GO,500
GO_24,2015.2034289741514,0.28291755467117824,GO,500
GO_25,97631.90031917559,0.7398099933405875,GO,500
GO_26,34313.330715971475,0.5826832519386402,GO,500
GO_27,49760.29274175779,0.45843488782369257,GO,500
GO_28,36078.029249735075,0.5025783704965283,GO,500
GO_29,9510.708655894481,0.5711637375848959,GO,500
GO_3,22307.625491274528,0.28878878504755784,GO,500
GO_30,17425.66605306884,0.40953027906133976,GO,500
GO_31,38916.31016624189,0.5664466218485315,GO,500
GO_32,36352.106379930745,0.35881091876272664,GO,500
GO_33,54229.09904412168,0.5322640173186859,GO,500
GO_34,198446.45366185514,0.7350309594890729,GO,500
GO_35,36790.11475530744,0.4278107189799175,GO,500
GO_36,29785.808526104993,0.3621205704939147,GO,500
GO_37,51029.53845372136,0.4486144376596201,GO,500
GO_38,88003.06605286173,0.49852956536570753,GO,500
GO_39,88069.82643956176,0.49227578679824713,GO,500
GO_4,48155.526625597835,0.3250338249405311,GO,500
GO_40,108257.3776696387,0.47952026952316334,GO,500
GO_41,52636.54000947083,0.6422907810277231,GO,500
GO_42,87335.95947305817,0.5248244258325704,GO,500
GO_43,14264.499350892649,0.3864469186331589,GO,500
GO_44,90466.18792067401,0.5724736222613455,GO,500
GO_45,1948.0224602877238,0.5542861863092358,GO,500
GO_46,53863.358456903516,0.6726880660173146,GO,500
GO_47,102276.2728752369,0.5688250147830773,GO,500
GO_48,165491.85288916278,0.5755115739735275,GO,500
GO_5,26818.03251284159,0.3225294007398422,GO,500
GO_6,18076.827741725363,0.5920043712308851,GO,500
GO_7,27011.280593941246,0.39552920851462176,GO,500
GO_8,11886.636650310786,0.24719585158666474,GO,500
GO_9,108389.82725405684,0.4238526406694232,GO,500
GO_1,124612.72013871936,0.23148720786515373,GO,Catch
GO_10,41212.334022351526,0.1687328055503786,GO,Catch
GO_11,49595.88693941787,0.17988042148323705,GO,Catch
GO_12,339130.87873579765,0.35232256851679866,GO,Catch
GO_13,80621.27137864238,0.19934467307893033,GO,Catch
GO_14,85259.53528958437,0.16888108662352747,GO,Catch
GO_15,1027772.4667840203,0.2717255219811337,GO,Catch
GO_16,63791.66483032235,0.27784571920959034,GO,Catch
GO_17,26720.121504305218,0.1742985583780642,GO,Catch
GO_18,582041.9969681057,0.28915949667123825,GO,Catch
GO_19,48825.27424474437,0.20478336498224306,GO,Catch
GO_2,2822.6047429514656,0.07466038129890992,GO,Catch
GO_20,226006.4507003526,0.26780699966019617,GO,Catch
GO_21,6680.641096349824,0.13088408426309137,GO,Catch
GO_22,99316.62546219103,0.30412474954930424,GO,Catch
GO_23,102555.3060845499,0.22413724679335792,GO,Catch
GO_24,2149.5737110414466,0.24088632610530264,GO,Catch
GO_25,237916.8591141811,0.5806414955738968,GO,Catch
GO_26,79121.67527283472,0.3239900085416732,GO,Catch
GO_27,669495.8207845616,0.29727149213542003,GO,Catch
GO_28,1487006.5208485613,0.25397817872137274,GO,Catch
GO_29,14651.244345669049,0.3854115642502931,GO,Catch
GO_3,44521.614998984034,0.23651707120411355,GO,Catch
GO_30,186465.87480636386,0.3121580093437633,GO,Catch
GO_31,44831.81920922636,0.36477550196346575,GO,Catch
GO_32,242797.6945392336,0.21646384581080994,GO,Catch
GO_33,157548.29932510413,0.27209849234058675,GO,Catch
GO_34,1004128.3582831664,0.28375510319202457,GO,Catch
GO_35,51032.05741864263,0.38501268551422124,GO,Catch
GO_36,78171.7516991003,0.29394017529363575,GO,Catch
GO_37,453746.7787847254,0.48654025557893077,GO,Catch
GO_38,467802.6619428053,0.3082454541750193,GO,Catch
GO_39,1103061.834960865,0.3855460718390724,GO,Catch
GO_4,337403.4288988178,0.2522330031897747,GO,Catch
GO_40,1782366.4649295101,0.30697703077102506,GO,Catch
GO_41,1121812.5479417944,0.3360774762330924,GO,Catch
GO_42,2885581.9081257833,0.3016826653311792,GO,Catch
GO_43,23140.505460076514,0.2847343462777101,GO,Catch
GO_44,6079509.982272102,0.315949134589352,GO,Catch
GO_45,4894.035138437397,0.5232546556742124,GO,Catch
GO_46,267787.1007552199,0.46103148284810186,GO,Catch
GO_47,399384.88075951627,0.41857570898524576,GO,Catch
GO_48,7809443.930432264,0.3397409749278473,GO,Catch
GO_5,196198.740442271,0.249707492641772,GO,Catch
GO_6,65865.40813195096,0.2250966341609961,GO,Catch
GO_7,282902.54307547305,0.3218763632351272,GO,Catch
GO_8,20357.123723502635,0.2012008903746891,GO,Catch
GO_9,895993.6474702022,0.27708885564887775,GO,Catch
GO_1,65082.615585343025,0.33375654085732676,GO,Stream
GO_10,31095.37500170585,0.21043055173710518,GO,Stream
GO_11,28302.325358778086,0.1936673724222495,GO,Stream
GO_12,150776.08700970068,0.3818819529333704,GO,Stream
GO_13,48399.98665898788,0.2751315863265648,GO,Stream
GO_14,53926.0186472328,0.19119609641646607,GO,Stream
GO_15,625156.7987285415,0.33134032593038293,GO,Stream
GO_16,28114.36797510763,0.2229924724274969,GO,Stream
GO_17,19077.06031765852,0.2531319591945238,GO,Stream
GO_18,304470.6515993329,0.31321449784502536,GO,Stream
GO_19,35611.515453162836,0.19091368682401696,GO,Stream
GO_2,2249.825426113376,0.07267446230752447,GO,Stream
GO_20,172737.85271341747,0.3043797979559966,GO,Stream
GO_21,5924.092233131729,0.1378225362244629,GO,Stream
GO_22,70862.53256897393,0.283524830943901,GO,Stream
GO_23,33705.50667778157,0.1681293193634489,GO,Stream
GO_24,2015.2039156702904,0.2829176943459317,GO,Stream
GO_25,130071.9703391995,0.7113904061050847,GO,Stream
GO_26,58791.35319482292,0.3971151239083496,GO,Stream
GO_27,362504.1421139675,0.3224600112198584,GO,Stream
GO_28,910268.9078977574,0.29892136401036623,GO,Stream
GO_29,9510.711024525854,0.5711637508861417,GO,Stream
GO_3,23761.508277470544,0.28957080099975496,GO,Stream
GO_30,151485.56462607882,0.30415579202055393,GO,Stream
