LocCode,Mean_Biomass,Median_Biomass,Max_Biomass,Min_Biomass,Std_Biomass,Sum_Biomass,River,Class,Biomass_Area
GO_39,0.628069704732715,0.17554881149732715,19.719942583436442,0.007620489735741024,1.0462783756566434,2923.664475530788,GO,500,163.42137690184882
GO_4,0.5115782729504496,0.33015919652524217,5.286385288573273,0.008045922188093092,0.573464131159693,2134.304554749275,GO,500,144.05847503480433
GO_40,0.30913930991012933,0.08852940816132296,10.514280750724678,0.008038589258966044,0.6770950923631291,2103.07472531861,GO,500,93.15457115445739
GO_41,0.6246909926654608,0.48402030722372175,5.0117273896397645,0.009308462003677975,0.5876903275878276,1767.2508182505887,GO,500,215.64656569786277
GO_42,0.6891300290687177,0.2638028891808279,11.16096982212719,0.007620489735741024,1.1252796850376396,3320.9176100821505,GO,500,199.56255000396425
GO_43,0.7069449235451702,0.04115807815159959,10.187842441602326,0.00938081323591185,1.252633716097006,875.904760272466,GO,500,237.29588210344585
GO_44,1.1184165989489359,0.7405994101223052,18.342563393752986,0.007835613778045163,1.343765327270451,5451.1625032771135,GO,500,344.9517234574575
GO_45,0.4191591396789932,0.23161588354395163,4.854197188372299,0.01356412054158766,0.6767556760018377,42.33507310757832,GO,500,120.45932066130476
GO_46,0.6038774449981792,0.34561183013254937,17.822959651053132,0.009794756424955992,0.8812295355222799,1943.2776180041408,GO,500,242.69182242615932
GO_47,0.49258657056535415,0.2638997916212756,10.215064632569055,0.009208262192313311,0.6950740218604957,2752.081169748634,GO,500,153.0611712822322
GO_48,1.216921440952806,0.5743620574084372,33.147169421965145,0.008501707219315159,1.9150310541221636,10450.921334902698,GO,500,363.4394129934379
GO_5,0.863354225949033,0.6906768962353487,8.785088926207909,0.007665111481590313,0.8744273666233058,2086.7271641188127,GO,500,250.9620574993769
GO_6,0.24849268370686228,0.12245260079468696,3.935930221204794,0.00839138934154949,0.3480891874995719,298.19122044823473,GO,500,97.65568853685294
GO_7,0.42859925460394815,0.11670504399292246,6.648958165084506,0.006317363107511024,0.6833712150449727,797.1946135633436,GO,500,116.73410056891393
GO_8,0.8726612198371895,0.8310068032563849,4.672601254639724,0.005225662516197148,0.6173611614026094,1412.8385149164096,GO,500,293.81550906586284
GO_9,0.4946779142371626,0.17841131399804216,10.891435305746024,0.005964014079915128,0.6887692710514725,3894.104540874944,GO,500,152.2768819276682
GO_1,0.0946670897598156,0.04381409547394717,5.768573386522865,0.008253393021876802,0.1750895153807786,1031.87127838199,GO,Catch,19.1685889564876
GO_10,0.6138310026050561,0.14752458430743873,8.311694460520934,0.006198898097862467,0.7501101589633514,3500.678207856635,GO,Catch,143.32584391370946
GO_11,0.853851224664528,0.6776703152996133,9.065436263504685,0.007639132461358385,0.748525298447916,7044.272603482356,GO,Catch,255.4902842054302
GO_12,0.34507075545723115,0.07803501679724496,5.900903942663517,0.004893503000355771,0.5367391153704997,8712.001363028716,GO,Catch,90.50885335438278
GO_13,0.9237561951470711,0.8420849091575048,7.800045487528619,0.006446469762355783,0.7798580784264612,10195.497125838225,GO,Catch,252.09451633205182
GO_14,1.0122084741655748,0.8319859793100086,11.964746864123024,0.007572256025890569,0.8840756640560231,14847.07389906065,GO,Catch,294.0890968660355
GO_15,0.4795313576381922,0.1407917296437656,21.114141051133714,0.003744379180318578,0.7038479239190747,42011.26271132438,GO,Catch,111.07061784833796
GO_16,0.5510649249022724,0.15140093046895298,8.967288184705327,0.006549170933904644,0.8678637771419903,3305.838484488733,GO,Catch,143.986377179
GO_17,0.7406936932698575,0.3255233774870916,16.846444350764283,0.008105523805508804,1.127098041403107,2954.627142453461,GO,Catch,192.7338733812874
GO_18,0.6164124314087486,0.25747896389421193,11.991088694003793,0.004893503000355771,0.7717038802541715,33585.231325305664,GO,Catch,166.85202504630698
GO_19,1.2086947424184493,1.1107989037802402,7.760346596117983,0.008303773576827019,0.8741908166705105,8694.141282215905,GO,Catch,364.65038547015496
GO_2,0.7131878509215531,0.7483903070072381,2.354246055493683,0.008634014496699384,0.46741541766540656,773.0956303989636,GO,Catch,204.49060283854362
GO_20,0.5678297392621366,0.20424019234715968,14.101540041888574,0.00559544871900534,0.765247178951518,11358.86610419978,GO,Catch,134.5972135521395
GO_21,1.0874820501466156,0.9380233001076136,5.883488477264179,0.009103557361985577,0.935955618050023,1567.061634261273,GO,Catch,307.01159368698126
GO_22,0.7763627747914265,0.2994855688431524,14.115432866485818,0.005588391087545613,0.950469946834032,7283.835553093163,GO,Catch,223.0436901207524
GO_23,0.9930450644774078,0.832615413293245,12.609322937846338,0.006911336839947275,0.9318718243816135,12441.861612837443,GO,Catch,271.9200705798948
GO_24,1.0533339645362716,0.5605185154075871,5.642165762128313,0.010551758702153816,1.1799833171992458,334.96020072253435,GO,Catch,375.36434191155905
GO_25,0.5269464772013652,0.1769929305974334,12.469533258994707,0.008160547094059466,0.8043649681862601,7416.771666609216,GO,Catch,181.00799619094283
GO_26,1.1153495600962124,0.8009761053060884,15.256352954609207,0.007853941126385131,1.193385984978516,8067.323368175905,GO,Catch,330.3433803633248
GO_27,0.630980928828651,0.2729735799604758,11.991088694003793,0.004893503000355771,0.8066834323158965,39365.00720683305,GO,Catch,174.78965614129598
GO_28,0.6995125534292893,0.41948154857848863,21.114141051133714,0.003744379180318578,0.8749692466706969,101737.10577075585,GO,Catch,173.76524224853557
GO_29,0.5952975012452787,0.10623611176569396,12.314446810224705,0.009174338545799061,0.9596957249030699,792.9362716587111,GO,Catch,208.58761317506625
GO_3,0.38197300388705957,0.11928451323656714,14.101540041888574,0.0069954892927854475,0.6166315232347077,1488.548796147871,GO,Catch,79.077814589012
GO_30,0.6709505530984814,0.1996416466396097,14.115432866485818,0.005588391087545613,0.8997274220822912,11477.280161302624,GO,Catch,192.1383701738126
GO_31,0.6875040183983628,0.21991648708333275,7.484004397394009,0.008282833494903373,0.8394646793628914,2523.82725154039,GO,Catch,205.35199525435604
GO_32,0.8513271321431048,0.52636521804708,17.984914275073166,0.006211125020445147,0.9695595199600606,25107.339781164446,GO,Catch,223.84196593890564
GO_33,1.029076362220597,0.8555855615000233,10.520191661155245,0.008282833494903373,0.9863104892326411,17450.047874174663,GO,Catch,301.37625973582357
GO_34,0.790421518037107,0.392768340074948,31.08103098776897,0.006211125020445147,1.0580256428767711,77190.9846084678,GO,Catch,218.13282756518834
