LocCode,Area,Count_full,Height_max_full,Height_ave_full,Height_med_full,Height_std_full,Biomass_sum_full,Biomass_max_full,Biomass_ave_full,Biomass_med_full,Biomass_std_full,Crown_sum_full,Crown_max_full,Crown_ave_full,Crown_med_full,Crown_std_full,Height_max_nodw,Height_ave_nodw,Height_med_nodw,Height_std_nodw,Biomass_sum_nodw,Biomass_max_nodw,Biomass_ave_nodw,Biomass_med_nodw,Biomass_std_nodw,Crown_sum_nodw,Crown_max_nodw,Crown_ave_nodw,Crown_med_nodw,Crown_std_nodw,Height_max_conif,Height_ave_conif,Height_med_conif,Height_std_conif,Biomass_sum_conif,Biomass_max_conif,Biomass_ave_conif,Biomass_med_conif,Biomass_std_conif,Crown_sum_conif,Crown_max_conif,Crown_ave_conif,Crown_med_conif,Crown_std_conif,Height_max_decid,Height_ave_decid,Height_med_decid,Height_std_decid,Biomass_sum_decid,Biomass_max_decid,Biomass_ave_decid,Biomass_med_decid,Biomass_std_decid,Crown_sum_decid,Crown_max_decid,Crown_ave_decid,Crown_med_decid,Crown_std_decid,Count_conif,Count_decid,Count_deadw,Count_snags,Share_conif,Share_decid,Share_deadw,Share_snags,Cover_nodw,Cover_conif,Cover_decid,River,Class
GO_1,5355.38540187106,209,34.73730804037302,10.05033430865686,8.000369563810523,6.3194414005411925,24734.84970587297,1700.3621542421815,118.34856318599508,71.12464050066254,200.469838309393,4103.283111403345,125.283180020924,19.632933547384425,17.6435420010239,16.383168033090772,34.73730804037302,10.172709370106789,7.831973567716773,6.499193605316363,23644.570946117154,1700.3621542421815,127.12134917267288,77.47026262280784,209.7556505406982,3812.917237339889,125.283180020924,20.499555039461768,18.56169374627645,16.80999195330264,34.73730804037302,10.172709370106789,7.831973567716773,6.499193605316363,23644.570946117154,1700.3621542421815,127.12134917267288,77.47026262280784,209.7556505406982,3812.917237339889,125.283180020924,20.499555039461768,18.56169374627645,16.80999195330264,29.936279296869998,19.1655285790198,23.656860351565,8.461686323948962,6414.827822186648,1622.0805182597956,337.622516957192,184.15046574078315,407.7532023052635,563.9896340525701,125.283180020924,29.683664950135263,12.5067650053097,33.31204383179621,167,19,9,14,0.7990430622009569,0.09090909090909091,0.0430622009569378,0.06698564593301436,0.7119781213146182,0.7119781213146182,0.10531261370199871,GO,100
GO_10,3880.57779346406,139,39.31610442709177,27.810478675668197,29.56658935546875,8.117207022324834,37953.327692077306,1135.3446724926944,273.04552296458496,223.19809325067808,207.41194192777402,3985.736390056208,102.870858499646,28.674362518389987,25.6671958857332,19.63909038108454,39.31610442709177,28.22245139439069,30.106688991300757,7.817371609587079,37568.69621333012,1135.3446724926944,282.47140010022645,236.60160274953256,206.8740746743757,3892.273784782719,102.870858499646,29.265216426937737,26.3210350010195,19.807451552524824,39.31610442709177,28.22245139439069,30.106688991300757,7.817371609587079,37568.69621333012,1135.3446724926944,282.47140010022645,236.60160274953256,206.8740746743757,3892.273784782719,102.870858499646,29.265216426937737,26.3210350010195,19.807451552524824,37.46221923828125,27.954426606112133,28.733734130861876,5.336231213874889,16460.591992586713,1135.3446724926944,265.4934192352695,216.2777128687512,195.82861658583863,1976.7620651971952,102.870858499646,31.883259116083796,28.8819094123319,22.053691254882434,71,62,3,3,0.5107913669064749,0.4460431654676259,0.02158273381294964,0.02158273381294964,1.003013981922578,1.003013981922578,0.5093989015054912,GO,100
GO_11,4670.45572062954,161,34.6697998046925,14.729128311864462,11.366332545988257,8.594832573474978,33746.797594517644,1108.6254030092286,209.60743847526487,147.8800670004166,213.41189574220942,4440.334169609686,115.766719999257,27.579715339190596,24.7323498863843,20.761198314380053,34.6697998046925,15.015141159856121,11.679107204191382,8.675250935319564,33483.35446401096,1108.6254030092286,217.4243796364348,158.85064187645176,214.88766292188578,4355.324257596377,115.766719999257,28.281326348028422,25.241278000419697,20.854948209282096,34.6697998046925,15.015141159856121,11.679107204191382,8.675250935319564,33483.35446401096,1108.6254030092286,217.4243796364348,158.85064187645176,214.88766292188578,4355.324257596377,115.766719999257,28.281326348028422,25.241278000419697,20.854948209282096,34.6697998046925,15.977659190256913,13.030334010832007,8.756174891753952,27297.429427999326,1108.6254030092286,250.43513236696631,180.97361299682166,229.57869045037984,3401.3443758370495,115.766719999257,31.2049942737344,30.0765785025433,21.437283709693485,45,109,1,6,0.2795031055900621,0.6770186335403726,0.006211180124223602,0.037267080745341616,0.9325266137004108,0.9325266137004108,0.7282681989282569,GO,100
GO_12,5878.08675783873,306,28.57470703125,9.683896424191708,8.679259792082007,4.560502048150149,39051.8657499925,1148.6260594820612,127.62047630716505,84.6771647478936,128.31790187140473,6409.986418628844,96.760297992193,20.947668034734782,18.23106474599355,15.285958020263331,28.57470703125,9.727014216753851,8.815246582143004,4.559797260262452,39001.53786424416,1148.6260594820612,128.71794674668038,85.01879125409269,128.4743117401321,6390.891441159326,96.760297992193,21.092050960921867,18.2927845503436,15.287394507100398,28.57470703125,9.727014216753851,8.815246582143004,4.559797260262452,39001.53786424416,1148.6260594820612,128.71794674668038,85.01879125409269,128.4743117401321,6390.891441159326,96.760297992193,21.092050960921867,18.2927845503436,15.287394507100398,28.57470703125,11.608079840985171,10.939269557707007,5.093661704375696,10780.49542122971,1148.6260594820612,196.00900765872203,147.63339125101106,185.57391014192197,1608.628706482108,96.760297992193,29.24779466331106,27.7293124981225,21.06668363588998,248,55,1,2,0.8104575163398693,0.17973856209150327,0.0032679738562091504,0.006535947712418301,1.0872400671250293,1.0872400671250293,0.273665356221039,GO,100
GO_13,7942.52443067729,271,34.708496108762915,17.495010595322345,18.566100612394507,9.01123246857815,75485.47465703877,1209.687454254866,278.5441869263423,189.76199850056764,276.76066987039997,8643.672053363369,123.063093007542,31.895468831599146,24.6050154944969,25.00475265416786,34.708496108762915,17.813097013720096,19.42431617533788,8.981973838451513,75194.46706577149,1209.687454254866,287.0017826937843,197.83677787473636,277.58325152815564,8546.071891364385,123.063093007542,32.618595005207574,26.55328700033715,25.085162328984172,34.708496108762915,17.813097013720096,19.42431617533788,8.981973838451513,75194.46706577149,1209.687454254866,287.0017826937843,197.83677787473636,277.58325152815564,8546.071891364385,123.063093007542,32.618595005207574,26.55328700033715,25.085162328984172,34.573425292969205,20.382443858338522,23.66537475585926,8.118160732993207,56323.55425826032,1159.5301687400606,370.5496990675021,311.8384389995741,285.3774108596777,5877.464775665066,106.817604998825,38.667531418849116,35.3599837477668,26.52329601354676,110,152,0,9,0.4059040590405904,0.5608856088560885,0,0.033210332103321034,1.0759893741536315,1.0759893741536315,0.7399995841327077,GO,100
GO_14,7091.10442440212,222,32.08044387411326,14.682462396318646,14.966094508878882,8.484683745462407,40161.57632170528,1046.7548752378657,180.90800144912288,75.23661975285756,225.2411115026434,4703.37824565704,94.5671390034258,21.18638849395063,15.53303649711415,20.085227486388543,32.08044387411326,15.474116750013373,16.879210963957007,8.561519933166592,39604.31319195642,1046.7548752378657,203.09904201003292,102.07880274544368,231.71661393296145,4467.898219704832,94.5671390034258,22.91229856258888,17.3941660036216,20.63052411986059,32.08044387411326,15.474116750013373,16.879210963957007,8.561519933166592,39604.31319195642,1046.7548752378657,203.09904201003292,102.07880274544368,231.71661393296145,4467.898219704832,94.5671390034258,22.91229856258888,17.3941660036216,20.63052411986059,30.450927734375227,18.959410812093108,21.094573743697254,7.002067598274978,26733.06443393412,1046.7548752378657,290.5767873253709,200.44128599957548,263.6401678739216,2464.8266086219387,86.3182975226955,26.791593571977593,25.028056992596248,21.784429265768104,103,92,8,19,0.46396396396396394,0.4144144144144144,0.036036036036036036,0.08558558558558559,0.630070853889807,0.630070853889807,0.34759417731036424,GO,100
GO_15,4676.58588573337,170,36.00109817098826,24.302762833914983,24.676574707031477,6.21637814916237,53783.54111631639,1226.4018372252635,316.37377127244935,258.35300224638274,237.02679293196957,5567.120297621525,103.938243740238,32.747766456597205,30.90540824987695,21.541606662578623,36.00109817098826,24.557241576848668,24.737365260832007,5.861461341384447,53602.67617481893,1226.4018372252635,320.9741088312511,262.1769377476949,236.47025185326908,5535.308561196315,103.938243740238,33.14556024668452,31.3578610019758,21.50843436271251,36.00109817098826,24.557241576848668,24.737365260832007,5.861461341384447,53602.67617481893,1226.4018372252635,320.9741088312511,262.1769377476949,236.47025185326908,5535.308561196315,103.938243740238,33.14556024668452,31.3578610019758,21.50843436271251,35.416503906249545,22.427489422459775,22.266357421875114,4.994187220638597,23672.303661973387,1226.4018372252635,288.6866300240657,234.64485411769874,226.69192598098564,2849.6839688745017,103.938243740238,34.75224352285978,30.90540824987695,22.162326004009486,85,82,1,2,0.5,0.4823529411764706,0.0058823529411764705,0.011764705882352941,1.183621705330508,1.183621705330508,0.6093513598387859,GO,100
GO_16,4178.16661863867,139,38.83300781250023,17.675337086054128,16.61944580078125,10.367871584189375,44549.66778329267,1889.7105464768529,320.501207074048,188.3709815029663,333.8897225501605,4641.900554907161,143.200493008044,33.394968020914824,27.0682315054582,26.542776896480365,38.83300781250023,17.76256195143088,16.693171087296832,10.354328757247051,44531.00129179203,1889.7105464768529,322.6884151579133,194.2679060028176,334.1051835223706,4629.849452907338,143.200493008044,33.54963371671984,27.4314467536169,26.576533329334772,38.83300781250023,17.76256195143088,16.693171087296832,10.354328757247051,44531.00129179203,1889.7105464768529,322.6884151579133,194.2679060028176,334.1051835223706,4629.849452907338,143.200493008044,33.54963371671984,27.4314467536169,26.576533329334772,38.83300781250023,18.625987725652166,17.69525146484375,10.31786724670234,42211.48342777256,1889.7105464768529,340.4151889336497,232.43073361515667,335.45719798673196,4336.101488663171,143.200493008044,34.96856039244493,29.3724321345908,26.69540337162165,14,124,0,1,0.10071942446043165,0.8920863309352518,0,0.007194244604316547,1.1081055102622583,1.1081055102622583,1.0378000411280772,GO,100
GO_17,5724.27380365133,160,41.436146862093665,18.794162088066383,17.024225774796832,7.013602932888411,65497.74662422843,2129.583814974075,409.3609164014277,322.00364249401537,350.49278431824166,6260.634161745922,142.676073217299,39.128963510912016,36.2369109959691,27.321130953828288,41.436146862093665,18.794162088066383,17.024225774796832,7.013602932888411,65497.74662422843,2129.583814974075,409.3609164014277,322.00364249401537,350.49278431824166,6260.634161745922,142.676073217299,39.128963510912016,36.2369109959691,27.321130953828288,41.436146862093665,18.794162088066383,17.024225774796832,7.013602932888411,65497.74662422843,2129.583814974075,409.3609164014277,322.00364249401537,350.49278431824166,6260.634161745922,142.676073217299,39.128963510912016,36.2369109959691,27.321130953828288,39.57531738281227,18.16288682808179,16.756408691405795,6.186554633976167,53541.085258228464,2129.583814974075,393.68445042815046,321.3637603767383,331.0044224701042,5197.090518956542,142.676073217299,38.213900874680455,34.873152743733954,26.773952472607213,24,136,0,0,0.15,0.85,0,0,1.0936992842223,1.0936992842223,0.9079039013894628,GO,100
GO_18,6438.5094917044,192,39.93945266317576,22.386676564008432,25.635192871093864,10.03552358515273,64331.54994784027,1468.2366530008303,335.06015597833476,281.9295198749305,273.6990690490696,6756.946977014802,108.338645500946,35.19243217195209,32.1790964960819,23.165360080547117,39.93945266317576,22.544768740729378,25.995822444669898,9.995236118610842,63793.386227838666,1468.2366530008303,339.32652248850354,283.203282251663,274.47007761018824,6712.2207940435355,108.338645500946,35.703302095976255,32.950932677020305,23.127039754917423,39.93945266317576,22.544768740729378,25.995822444669898,9.995236118610842,63793.386227838666,1468.2366530008303,339.32652248850354,283.203282251663,274.47007761018824,6712.2207940435355,108.338645500946,35.703302095976255,32.950932677020305,23.127039754917423,39.15447998046852,22.776364704441153,25.77923583984375,8.62458310572729,47715.13003906161,1329.7213497654593,353.4454076967527,309.8147347515287,246.10443793283378,5134.477368523298,108.338645500946,38.033165692765174,34.1022780062631,23.260038968947622,53,135,2,2,0.2760416666666667,0.703125,0.010416666666666666,0.010416666666666666,1.042511594133983,1.042511594133983,0.7974636637778879,GO,100
