Count,Max_cover,Min_cover,Avg_cover,Med_cover,Std_cover,Max_shrub,Min_shrub,Avg_shrub,Med_shrub,Std_shrub,Max_understory,Min_understory,Avg_understory,Med_understory,Std_understory,LocCode,River,Class
715,0.9980000257492065,0.00800000037997961,0.1955664338296527,0.12300000339746475,0.19325174671926215,0.9750000238418579,0.07400000095367432,0.5002559441786546,0.49799999594688416,0.20457151432421963,0.9879999756813049,0.24400000274181366,0.7436559438913852,0.7730000019073486,0.15048022630871205,GO_20,GO,500
323,0.9750000238418579,0,0.2372198133432413,0.16899999976158142,0.19740131006422465,1,0,0.6652229083903802,0.7039999961853027,0.2035236012197666,1,0.21899999678134918,0.789624223844235,0.8394999802112579,0.17307228759534674,GO_21,GO,500
1094,1,0.004999999888241291,0.36260603307839995,0.2680000066757202,0.2770176442473623,1,0.06800000369548798,0.5709945157143054,0.5730000138282776,0.19911980641543178,1,0.2930000126361847,0.7621928697802685,0.773499995470047,0.1424796099143219,GO_22,GO,500
1029,0.9729999899864197,0.00800000037997961,0.20082993189595183,0.1289999932050705,0.19400203389790616,1,0.11400000005960464,0.7160913508215265,0.7409999966621399,0.20486030932268404,1,0.19099999964237213,0.8256219612729561,0.8700000047683716,0.16388592048462036,GO_23,GO,500
67,0.7630000114440918,0.024000000208616257,0.21079104449321975,0.16699999570846558,0.15853931213837597,0.9580000042915344,0.14100000262260437,0.573537312336822,0.5640000104904175,0.20945291828540863,0.972000002861023,0.36500000953674316,0.7717462662440627,0.8140000104904175,0.1571568751903413,GO_24,GO,500
1315,0.996999979019165,0.03099999949336052,0.3432403043564055,0.20600000023841858,0.28569341802120424,0.9890000224113464,0.024000000208616257,0.6165885928494169,0.722000002861023,0.2923532303954044,0.996999979019165,0.11599999666213989,0.7438387825008581,0.8339999914169312,0.2312234479657058,GO_25,GO,500
598,1,0.017000000923871994,0.3632190637757696,0.25599999725818634,0.2724677553712647,0.9959999918937683,0.03799999877810478,0.5312943143963216,0.551499992609024,0.2396293008535552,0.9990000128746033,0.23999999463558197,0.7222625419098797,0.7379999756813049,0.1644370318756741,GO_26,GO,500
1088,0.953000009059906,0.014000000432133675,0.21401378672111177,0.1469999998807907,0.17954963775880523,0.9789999723434448,0.04100000113248825,0.40202757382683235,0.38850000500679016,0.21878026697603867,0.9959999918937683,0.11500000208616257,0.6633970577694366,0.6924999952316284,0.2050112753671873,GO_27,GO,500
718,0.9810000061988831,0.017000000923871994,0.34796657357728084,0.21849999576807022,0.2891831542560123,0.9779999852180481,0.12700000405311584,0.6554206136126373,0.671999990940094,0.18767111591561247,1,0.20600000023841858,0.7909651815808251,0.8294999897480011,0.15996932301250522,GO_28,GO,500
166,0.9819999933242798,0.07500000298023224,0.4432590360113655,0.4230000078678131,0.219050787616029,0.9620000123977661,0.09200000017881393,0.4126445778522147,0.39149999618530273,0.18291064384381506,0.9710000157356262,0.28700000047683716,0.5976807221949819,0.601500004529953,0.15602867069867013,GO_29,GO,500
772,0.8709999918937683,0.006000000052154064,0.21504533635283496,0.1550000011920929,0.1833909207746565,1,0.04800000041723251,0.5801062173369326,0.546999990940094,0.2693126795870677,1,0.13099999725818634,0.7531709835859778,0.7540000081062317,0.19014979855786954,GO_3,GO,500
426,0.5730000138282776,0.012000000104308128,0.1598450704893106,0.12949999421834946,0.10933884487582696,0.9200000166893005,0.023000000044703484,0.28948356794027236,0.23499999940395355,0.1996537373081415,0.9860000014305115,0.1340000033378601,0.597115023210295,0.5925000011920929,0.1691664916432126,GO_30,GO,500
683,0.9879999756813049,0.019999999552965164,0.4777262072224786,0.43799999356269836,0.27226314863648515,0.9729999899864197,0.041999999433755875,0.47987408502951895,0.4440000057220459,0.24466414619599874,0.9919999837875366,0.15700000524520874,0.6312284043514187,0.640999972820282,0.19692984570380917,GO_31,GO,500
