Mean_cover,Median_cover,Max_cover,Min_cover,Sd_cover,Mean_shrub,Median_shrub,Max_shrub,Min_shrub,Sd_shrub,Mean_under,Median_under,Max_under,Min_under,Sd_under,River,Class,LocCode
0.5018750031345657,0.47200000286102295,0.953000009059906,0.0729999989271164,0.2264553814417656,0.45976785716733765,0.4580000042915344,0.8960000276565552,0.11500000208616257,0.20756878600798745,0.6349821420652526,0.6774999797344208,0.9340000152587891,0.27799999713897705,0.1693741944097669,GO,100,GO_1
0.16342105358642967,0.079500000923872,0.9750000238418579,0.017000000923871994,0.20381836979672513,0.8404473725118136,0.8655000030994415,1,0.5879999995231628,0.12816052111895254,0.9221052652911136,0.9590000212192535,1,0.7049999833106995,0.08720209453812705,GO,100,GO_10
0.33712765931131994,0.3499999940395355,0.6489999890327454,0.03400000184774399,0.16984694030849362,0.4305744672075231,0.4269999861717224,0.7639999985694885,0.2240000069141388,0.11218593346514011,0.6184042540002377,0.6029999852180481,0.8880000114440918,0.4490000009536743,0.10013679056432627,GO,100,GO_11
0.3256315782404782,0.31200000643730164,0.6549999713897705,0.08399999886751175,0.14934220248696797,0.36247368392191437,0.3199999928474426,0.7139999866485596,0.1459999978542328,0.12506242687193922,0.6714385946591696,0.6710000038146973,0.9049999713897705,0.4269999861717224,0.1062697029954073,GO,100,GO_12
0.23564556995524635,0.1979999989271164,0.6100000143051147,0.02800000086426735,0.16335222485075468,0.5079240510358086,0.4699999988079071,0.9660000205039978,0.10300000011920929,0.21796211171278226,0.6746202492261235,0.6359999775886536,1,0.22200000286102295,0.1962673018662131,GO,100,GO_13
0.5320285743368524,0.534500002861023,0.9789999723434448,0.057999998331069946,0.2844207440292105,0.6210428574255534,0.6289999783039093,0.8420000076293945,0.34599998593330383,0.0952357038537317,0.7406285741499492,0.7440000176429749,0.9649999737739563,0.4790000021457672,0.13005229157322074,GO,100,GO_14
0.09704255318625811,0.08799999952316284,0.4620000123977661,0.014999999664723873,0.07993066643086667,0.7962553171401329,0.8240000009536743,0.984000027179718,0.46000000834465027,0.13921245383317848,0.9058510610397826,0.953000009059906,1,0.5590000152587891,0.11013094005612772,GO,100,GO_15
0.12307317059759687,0.07999999821186066,0.45899999141693115,0.02500000037252903,0.10108669199155246,0.3601951215688775,0.31299999356269836,0.8949999809265137,0.08900000154972076,0.22608861252383766,0.6437317111143251,0.6330000162124634,0.9409999847412109,0.23800000548362732,0.14615437379355523,GO,100,GO_16
0.11591228022517865,0.09000000357627869,0.5609999895095825,0.023000000044703484,0.09719646345503355,0.5906491216860319,0.6169999837875366,0.8870000243186951,0.1889999955892563,0.19464184257048212,0.8508947387076261,0.8579999804496765,0.9789999723434448,0.6269999742507935,0.08579037763844836,GO,100,GO_17
0.18325806439163222,0.12150000035762787,0.9039999842643738,0.04699999839067459,0.16752322352195617,0.6631451619248236,0.6769999861717224,1,0.2980000078678131,0.20798493461958384,0.8032903248263944,0.8355000019073486,1,0.43299999833106995,0.16103144603614403,GO,100,GO_18
0.20101041606782624,0.15299999713897705,0.6230000257492065,0.04699999839067459,0.13560006932244048,0.48318749759346247,0.4934999942779541,0.8240000009536743,0.09600000083446503,0.1641754700449713,0.7102812497566143,0.7304999828338623,0.9729999899864197,0.31700000166893005,0.15243032246208343,GO,100,GO_19
0.15539130457825417,0.0989999994635582,0.7580000162124634,0.017999999225139618,0.13744734006861647,0.5276231858609379,0.47099998593330383,1,0.07999999821186066,0.3085811490943598,0.6554057947967363,0.6349999904632568,1,0.21299999952316284,0.24252697103542478,GO,100,GO_2
0.5629583345726132,0.5230000019073486,0.9980000257492065,0.20800000429153442,0.2272372438370851,0.5838124969353279,0.6085000038146973,0.8489999771118164,0.30399999022483826,0.13516021128356565,0.7173958302785953,0.7210000157356262,0.921999990940094,0.4180000126361847,0.12809799017235654,GO,100,GO_20
0.2996041633499165,0.27549999952316284,0.6779999732971191,0.07400000095367432,0.16871664612093829,0.4922708322604497,0.5115000009536743,0.8669999837875366,0.18199999630451202,0.18240400912182522,0.6958125022550424,0.6974999904632568,0.9729999899864197,0.3970000147819519,0.16324457973387954,GO,100,GO_21
0.5197340423597935,0.5294999778270721,0.9599999785423279,0.07000000029802322,0.21524320647052866,0.5599042557655497,0.5674999952316284,0.875,0.23800000548362732,0.13978632557093348,0.73796808878158,0.7515000104904175,0.9679999947547913,0.30399999022483826,0.13114445967112942,GO,100,GO_22
0.28961111191246247,0.2849999964237213,0.7160000205039978,0.06400000303983688,0.14681831062722708,0.515361117819945,0.5270000100135803,0.8539999723434448,0.11900000274181366,0.22563677034561305,0.6712222264872657,0.7010000050067902,0.9129999876022339,0.30399999022483826,0.17635161769235308,GO,100,GO_23
0.2572325576356677,0.2070000022649765,0.7630000114440918,0.03799999877810478,0.1750946472642063,0.493558139995087,0.4690000116825104,0.9070000052452087,0.14100000262260437,0.19645322954255698,0.7089767400608507,0.7160000205039978,0.972000002861023,0.36500000953674316,0.15756381626392285,GO,100,GO_24
0.8670800010363261,0.9359999895095825,0.9929999709129333,0.1340000033378601,0.16553057667376173,0.6414266687631607,0.6600000262260437,0.8690000176429749,0.16500000655651093,0.13811982570136916,0.6772799984614054,0.6990000009536743,0.8790000081062317,0.2619999945163727,0.12432461352557059,GO,100,GO_25
0.17774073972746177,0.14399999380111694,0.40400001406669617,0.06599999964237213,0.09339642149844822,0.7991851877283167,0.8220000267028809,0.9710000157356262,0.3330000042915344,0.13712600198707423,0.8818888840851961,0.9179999828338623,0.9879999756813049,0.5109999775886536,0.11259878836855204,GO,100,GO_26
